driver	crate	lines	owners	declared_source	exterior	output_manifest	closure_manifest	named_in	subject
crates/holonic-engine/examples/derivation_holonomy.rs	crates/holonic-engine	764	holonic_engine::conditioned_derivation;holonic_engine::derivation_atlas;holonic_engine::derivation_integral	yes	none	no	no	4	Accumulate along the routes of a conditioned derivation circuit and return the disagreement
crates/holonic-engine/examples/derivation_moves.rs	crates/holonic-engine	1020	holonic_engine::conditioned_derivation;holonic_engine::derivation_atlas;holonic_engine::derivation_skein;holonic_engine::placement;holonic_engine::rebase_invariants;holonic_engine::receiver_exact_compression;holonic_engine::skein;holonic_engine::substitution_realizers;holonic_engine::supported_realizers	yes	none	no	no	3	The moves a conditioned production made, realized, placed, and returned as classes
crates/holonic-engine/examples/desktop_receiver.rs	crates/holonic-engine	3145	holonic_engine::assemble_presentation_with_cpu;holonic_engine::assemble_support_presentation_with_cpu;holonic_engine::classify_presentation_address;holonic_engine::receive_selected_faces_with_conics_certified_cpu;holonic_engine::trace_receivers_aperture_with_cpu;holonic_engine::trace_receivers_aperture_with_rational_conic_authority;relational_geometry::integer	no	card+deposit	no	no	16	-
crates/holonic-engine/examples/divisor_receiver_reconstruction.rs	crates/holonic-engine	131	-	yes	none	no	no	5	Reconstruct the dual divisor receivers through opaque contact alone
crates/holonic-engine/examples/exact_receiver.rs	crates/holonic-engine	85	holonic_engine::quotient_presentation;holonic_engine::receive_face;relational_geometry::integer	no	none	no	no	5	-
crates/holonic-engine/examples/faces_grow_from_collocation.rs	crates/holonic-engine	887	holonic_engine::collocation;holonic_engine::derivation_atlas;holonic_engine::name_elaboration;holonic_engine::rebase_invariants	yes	none	no	no	2	Coherence is collocation over time, at three grains, against the null-bind
crates/holonic-engine/examples/foreign_codec_intake.rs	crates/holonic-engine	1130	holonic_engine::codec_recovery;holonic_engine::conditioned_derivation;holonic_engine::derivation_codec_intake	yes	none	no	no	7	Recover four foreign conditioners from their own declared statistics, condition the body with
crates/holonic-engine/examples/generative_transport_prediction.rs	crates/holonic-engine	564	relational_geometry::format_rat;relational_geometry::integer	no	deposit	no	no	9	Exact prediction from an unresolved parameter fiber, followed by
crates/holonic-engine/examples/graded_complex_integer_invariants.rs	crates/holonic-engine	524	holonic_engine::algebraic;holonic_engine::causal;holonic_engine::rebase_invariants;holonic_engine::simplicial;relational_geometry::exact	no	deposit	no	no	5	The exact integer invariants of a **singly graded** causal complex
crates/holonic-engine/examples/grown_circuit_invariants.rs	crates/holonic-engine	687	holonic_engine::algebraic;holonic_engine::causal;holonic_engine::dilation;holonic_engine::rebase_invariants	no	none	no	no	4	A circuit grown twice under two different schedules, and the invariants that do not move
crates/holonic-engine/examples/grown_circuit_schedules.rs	crates/holonic-engine	777	holonic_engine::grown_cell;holonic_engine::rebase_invariants	no	none	no	no	6	Circuits **grown** from size-agnostic recursive cells, read by the invariants organ
crates/holonic-engine/examples/inverse_transport_reconstruction.rs	crates/holonic-engine	458	relational_geometry::format_rat;relational_geometry::integer	no	deposit	no	no	10	Reconstruction of an opaque passive transport ecology from exact aggregate
crates/holonic-engine/examples/layout_curvature_consumption.rs	crates/holonic-engine	847	holonic_engine::curvature_bridge;relational_geometry::integer;relational_geometry::rat	no	none	no	no	1	LAYOUT -> CURVATURE, closed. Loop (b) of `blueprint/THE_ASSEMBLY.md:122`
crates/holonic-engine/examples/leader_quadrature_figure.rs	crates/holonic-engine	355	holonic_engine::leader_quadrature;relational_geometry::format_rat;relational_geometry::integer;relational_geometry::rat	no	deposit	no	no	1	Drive `leader_quadrature` and deposit the lineage as exact rational TSV rows for a figure
crates/holonic-engine/examples/matroid_hodge_riemann.rs	crates/holonic-engine	901	holonic_engine::inertia;holonic_engine::matroid_chow	no	none	no	no	9	The Chow ring of a matroid, its Hodge–Riemann form, and the split that form returns
crates/holonic-engine/examples/mms_reconnection_traversal.rs	crates/holonic-engine	1589	-	yes	deposit	no	no	5	Real four-receiver magnetopause traversal over the 16 October 2015 MMS event
crates/holonic-engine/examples/native_conic_hinge.rs	crates/holonic-engine	94	holonic_engine::receive_face_with_conics;relational_geometry::integer	no	none	no	no	3	-
crates/holonic-engine/examples/phoenix/cohort.rs	crates/holonic-engine	2	holonic_engine::phoenix	no	none	no	no	37	Thin example consumer of the owner-local shared-prefix Phoenix circulation
crates/holonic-engine/examples/phoenix/conduct.rs	crates/holonic-engine	502	holonic_engine::embedding_fiber;holonic_engine::exact_work;holonic_engine::front_passage;holonic_engine::ported_operation;holonic_engine::resident_section;holonic_engine::source_occurrence	no	none	no	no	392	# SUPERSEDED 2026-08-20 BY DEED H5. COMMITTED EVIDENCE, NOT A SITE FOR NEW CONSTRUCTION
crates/holonic-engine/examples/phoenix/cultivation_material/admission.rs	crates/holonic-engine	405	holonic_engine::foreign_codec_rest	no	none	no	no	165	-
crates/holonic-engine/examples/phoenix/cultivation_material/codec.rs	crates/holonic-engine	231	holonic_engine::foreign_codec_rest	no	none	no	no	183	Recovered W3 codec paths over the authenticated W1 exterior companions
crates/holonic-engine/examples/phoenix/cultivation_material/hashing.rs	crates/holonic-engine	242	-	no	none	no	no	4	-
crates/holonic-engine/examples/phoenix/cultivation_material/types.rs	crates/holonic-engine	286	-	no	none	no	no	121	-
crates/holonic-engine/examples/phoenix/cultivation_material.rs	crates/holonic-engine	31	-	no	none	no	no	0	W3 material admission at the W1 exterior-codec boundary
crates/holonic-engine/examples/phoenix/cultivation_material_tests.rs	crates/holonic-engine	315	holonic_engine::foreign_codec_rest	no	none	no	no	0	-
crates/holonic-engine/examples/phoenix/cultivation_overlay.rs	crates/holonic-engine	2	holonic_engine::phoenix	no	none	no	no	1	Thin example consumer of the owner-local Phoenix circulation
crates/holonic-engine/examples/phoenix/foreign_material.rs	crates/holonic-engine	156	holonic_engine::foreign_map;holonic_engine::ported_operation;holonic_engine::source_occurrence;holonic_engine::streamed_standing	no	none	no	no	0	Example-only foreign source adapter. It is intentionally absent from production Phoenix
crates/holonic-engine/examples/phoenix/lifted_condensation.rs	crates/holonic-engine	836	holonic_engine::operation_correspondence;holonic_engine::receiver_exact_compression	no	none	no	no	0	W2's pure structural condensation owner
crates/holonic-engine/examples/phoenix/lifted_condensation_tests.rs	crates/holonic-engine	267	holonic_engine::causal;holonic_engine::evolution;holonic_engine::operation_correspondence;holonic_engine::ported_operation	no	none	no	no	0	-
crates/holonic-engine/examples/phoenix/modality.rs	crates/holonic-engine	130	holonic_engine::front_passage;holonic_engine::ported_operation;holonic_engine::resident_section	no	none	no	no	43	Exact Station-B modality projection deed constructors
crates/holonic-engine/examples/phoenix/native_streamed.rs	crates/holonic-engine	2	holonic_engine::phoenix	no	none	no	no	1	Thin example consumer of the owner-local Phoenix circulation
crates/holonic-engine/examples/phoenix/profile.rs	crates/holonic-engine	994	-	no	none	no	no	63	**The exterior-telemetry join of Deed H0** — a site, not a library owner. It reads the `.tsv`
crates/holonic-engine/examples/phoenix/resident_layer.rs	crates/holonic-engine	1542	holonic_engine::category;holonic_engine::causal;holonic_engine::embedding_fiber;holonic_engine::exact_value;holonic_engine::foreign_map;holonic_engine::front_passage;holonic_engine::interaction;holonic_engine::ported_operation;holonic_engine::resident_section;holonic_engine::source_occurrence	no	none	no	no	6	**The layer-zero source diagram of Gemma-4-E4B, bound as one deed** — the per-layer input
crates/holonic-engine/examples/phoenix/serial_reference.rs	crates/holonic-engine	503	holonic_engine::exact_value;holonic_engine::resident_section	no	none	no	no	2	**The serial reference of layer zero: an independent enclosure of the same source law on the
crates/holonic-engine/examples/phoenix/site.rs	crates/holonic-engine	1389	holonic_engine::category;holonic_engine::causal;holonic_engine::embedding_fiber;holonic_engine::evolution;holonic_engine::exact_value;holonic_engine::foreign_map;holonic_engine::interaction;holonic_engine::ported_operation;holonic_engine::ported_reference	no	deposit	no	no	397	**The Phoenix site: one founding of the bound diagram, shared by every station that conducts it.**
crates/holonic-engine/examples/phoenix/streamed.rs	crates/holonic-engine	8	holonic_engine::phoenix	no	none	no	no	35	Thin example consumer of the source-detached resident circulation
crates/holonic-engine/examples/phoenix/streamed_cultivation.rs	crates/holonic-engine	2	holonic_engine::phoenix	no	none	no	no	1	Thin example consumer of the owner-local Phoenix circulation
crates/holonic-engine/examples/phoenix/tower.rs	crates/holonic-engine	2313	holonic_engine::category;holonic_engine::causal;holonic_engine::embedding_fiber;holonic_engine::exact_value;holonic_engine::front_passage;holonic_engine::phoenix;holonic_engine::ported_operation;holonic_engine::resident_section;holonic_engine::source_occurrence	no	none	no	no	91	**The whole text tower of Gemma-4-E4B, founded layer by layer as bound deeds** — every layer a
crates/holonic-engine/examples/phoenix/tower_receiver.rs	crates/holonic-engine	253	holonic_engine::foreign_codec_rest;holonic_engine::resident_section	no	none	no	no	0	Shared receiver and Station-C artifact owner for the Phoenix tower
crates/holonic-engine/examples/phoenix/w1_admission.rs	crates/holonic-engine	483	holonic_engine::foreign_codec_rest;holonic_engine::native_rest;holonic_engine::source_occurrence	no	none	no	no	1	Station-B admission for Phoenix W1
crates/holonic-engine/examples/phoenix/w1_correspondence.rs	crates/holonic-engine	329	holonic_engine::front_passage;holonic_engine::native_rest;holonic_engine::operation_correspondence;holonic_engine::ported_operation;holonic_engine::resident_section;holonic_engine::source_occurrence	no	none	no	no	1	Reusable W1 topology construction for the Gemma lift
crates/holonic-engine/examples/phoenix/w3_fixture.rs	crates/holonic-engine	211	-	no	deposit	no	no	0	Process-address table over the authenticated W3 cultivation-material manifest
crates/holonic-engine/examples/phoenix/w3_grade.rs	crates/holonic-engine	499	holonic_engine::exact_work;holonic_engine::front_passage;holonic_engine::streamed_standing	no	none	no	no	0	Receiver grade for the source-detached W3 child return
crates/holonic-engine/examples/phoenix/w3_seal.rs	crates/holonic-engine	582	holonic_engine::cultivated_rest;holonic_engine::cultivation_derivation;holonic_engine::embedding_fiber;holonic_engine::exact_linear;holonic_engine::native_occurrence;holonic_engine::native_rest;holonic_engine::ported_operation	no	deposit	no	no	0	W3's material-founded derivation and source-detached product seal
crates/holonic-engine/examples/phoenix/w5_arm.rs	crates/holonic-engine	413	holonic_engine::exact_work;holonic_engine::phoenix	no	none	no	no	0	Authenticated ARM-N W5 receipt adapter
crates/holonic-engine/examples/phoenix_w5_panel.rs	crates/holonic-engine	1747	holonic_engine::embedding_fiber;holonic_engine::exact_work;holonic_engine::phoenix;holonic_engine::resident_section	yes	deposit	no	yes	1	W5's resident returned-deed panel
crates/holonic-engine/examples/prime_ecology_calibration.rs	crates/holonic-engine	247	-	yes	none	no	no	5	Bounded reporting instrument for the topology-forming prime ecology
crates/holonic-engine/examples/prime_ecology_recombination.rs	crates/holonic-engine	174	-	no	none	no	no	3	Bounded instrument for recurrent prime-horn filler families
crates/holonic-engine/examples/prime_emergence_observatory.rs	crates/holonic-engine	221	-	yes	none	no	no	6	Exact observatory for prime recognition, obstruction, recurrence, and
crates/holonic-engine/examples/prime_fiber_calibration.rs	crates/holonic-engine	211	holonic_engine::calibrate_quadratic_transport;holonic_engine::residue_transport_sheaf;holonic_engine::residue_triangle_obstructions;relational_geometry::format_rat;relational_geometry::integer	yes	none	no	no	3	Bounded research instrument for the arithmetic-fiber production laws
crates/holonic-engine/examples/receiver_emission_information_flow.rs	crates/holonic-engine	646	holonic_engine::propagate_phase_current_emission;holonic_engine::receive_phase_transport_spectrum	yes	deposit	no	no	1	Co-located speech, transcript, and binaural echo transport through exact
crates/holonic-engine/examples/receiver_graph_analysis.rs	crates/holonic-engine	542	-	yes	deposit	no	no	1	-
crates/holonic-engine/examples/relampago_receiver_ecology.rs	crates/holonic-engine	2719	holonic_engine::exact_rational_from_f32_bits	yes	kernel+deposit	no	no	3	Full-storm receiver-relation experiment over native GOES-16 GLM products
crates/holonic-engine/examples/reopening_the_collapsed_face.rs	crates/holonic-engine	734	holonic_engine::exact_value;holonic_engine::reopening;relational_geometry::exact;relational_geometry::exact_analysis	no	none	no	no	5	Reopening the collapsed face
crates/holonic-engine/examples/signs_are_windings.rs	crates/holonic-engine	686	holonic_engine::exact_linear;holonic_engine::grown_cell;holonic_engine::inertia;holonic_engine::winding_inertia;relational_geometry::format_rat	no	none	no	no	7	Signs, returned as windings
crates/holonic-engine/examples/skein_far_condensation.rs	crates/holonic-engine	1520	holonic_engine::algebraic;holonic_engine::causal;holonic_engine::grown_cell;holonic_engine::rebase_invariants;holonic_engine::skein	no	none	no	no	5	A far population condensed to a compact realizer, and the exact remainder that departure costs
crates/holonic-engine/examples/speech_room_information_flow.rs	crates/holonic-engine	1067	holonic_engine::convolve_phase_current	yes	deposit	no	no	1	Real-corpus system identification through exact receiver-local currents
crates/holonic-engine/examples/substitution_realizer_placement.rs	crates/holonic-engine	767	holonic_engine::algebraic;holonic_engine::causal;holonic_engine::complex_system;holonic_engine::dilation;holonic_engine::placement;holonic_engine::rebase_invariants;holonic_engine::receiver_exact_compression;holonic_engine::skein;holonic_engine::substitution_realizers;holonic_engine::supported_realizers	no	none	no	no	4	`skein -> substitution_realizers -> placement`, driven end to end through step 1's organ
crates/holonic-engine/examples/the_application_infers_from_the_cultivated_phoenix_rest_on_the_card.rs	crates/holonic-engine	406	-	yes	kernel+deposit	yes	yes	3	W4 fresh-process receiver: two independent `eros phoenix infer --product --card` processes
crates/holonic-engine/examples/the_arrow_is_the_division_and_the_score_is_its_aim.rs	crates/holonic-engine	463	holonic_engine::clifford	no	none	no	no	4	**Dividing one vector by another returns a scalar and an oriented area. An attention score is
crates/holonic-engine/examples/the_atlas_condenses_where_the_receiver_factors.rs	crates/holonic-engine	2383	holonic_engine::athena;holonic_engine::exact_work;holonic_engine::foreign_map;holonic_engine::native_occurrence;holonic_engine::receiver_exact_compression	yes	kernel+deposit	no	no	2	**Deed P2: the atlas condenses where the receiver factors, and the remainder is retained whole.**
crates/holonic-engine/examples/the_atmosphere_and_the_ground.rs	crates/holonic-engine	468	holonic_engine::conditioned_derivation;holonic_engine::contact_gluing;holonic_engine::rebase_invariants;holonic_engine::statement_composition	yes	none	no	no	1	The atmosphere and the ground: statement founding at corpus scale, on a doubling ladder
crates/holonic-engine/examples/the_axes_are_condensed_to_what_a_receiver_can_separate.rs	crates/holonic-engine	267	holonic_engine::embedding_fiber	yes	none	no	no	1	**Phoenix station five's condensation half: which axes are load-bearing, and what collapses.**
crates/holonic-engine/examples/the_axis_reads_what_the_neighbour_does.rs	crates/holonic-engine	1019	holonic_engine::corpus_census;holonic_engine::founded_receiver;holonic_engine::receiver_exact_compression;holonic_engine::token_invariance	yes	none	no	no	3	A receiver axis whose reading of a neighbour is what the corpus **does** with it
crates/holonic-engine/examples/the_binding_is_read_where_it_is_written.rs	crates/holonic-engine	262	holonic_engine::lean_development;holonic_engine::move_species	no	none	no	no	2	The orbit instrument for the reader repair, and it is run **before** the repair so the repair
crates/holonic-engine/examples/the_bound_diagram_conducts_one_site.rs	crates/holonic-engine	1238	holonic_engine::category;holonic_engine::causal;holonic_engine::embedding_fiber;holonic_engine::evolution;holonic_engine::exact_value;holonic_engine::foreign_map;holonic_engine::interaction;holonic_engine::ported_operation;holonic_engine::ported_reference	yes	none	no	no	2	**Phoenix station three: the bound diagram conducts one site on caused material.**
crates/holonic-engine/examples/the_candidates_are_separated_by_a_declared_receiver.rs	crates/holonic-engine	380	holonic_engine::embedding_fiber;holonic_engine::receiver_exact_compression	yes	none	no	no	1	**Phoenix station five, its dissection half: the open candidate compositions are separated by a
crates/holonic-engine/examples/the_card_refines_the_front.rs	crates/holonic-engine	346	holonic_engine::corpus_census;holonic_engine::cuda_refine;holonic_engine::token_invariance	yes	card	no	no	2	The front is refined on the card, and the card's partition is required to equal the cpu's
crates/holonic-engine/examples/the_carrier_is_admitted_by_its_work.rs	crates/holonic-engine	825	relational_geometry::integer	yes	card	no	no	5	Admit one of two exact carriers on the **work** they do, never on the clock that watched them
crates/holonic-engine/examples/the_census_is_pointed_at_a_foreign_corpus.rs	crates/holonic-engine	336	holonic_engine::corpus_census	yes	none	no	no	1	`corpus_census` over a corpus this repository did not write, under both declared species
crates/holonic-engine/examples/the_channel_population_is_the_receivers.rs	crates/holonic-engine	503	-	no	none	no	no	1	The channel population is the receiver's, and the comparison extent is the caller's
crates/holonic-engine/examples/the_chart_declares_the_quadric_dimension.rs	crates/holonic-engine	571	relational_geometry::integer	no	none	no	no	1	The chart declares the quadric dimension; the organ authors nothing
crates/holonic-engine/examples/the_chart_refuses_or_returns.rs	crates/holonic-engine	869	holonic_engine::arithmetic_monodromy;holonic_engine::quintic_chart;holonic_engine::rational_polynomial	no	none	no	no	4	The Tschirnhaus organ, driven over a declared quintic family
crates/holonic-engine/examples/the_circuit_closes_and_the_face_superposes.rs	crates/holonic-engine	825	holonic_engine::conditioned_derivation;holonic_engine::contact_gluing;holonic_engine::rebase_invariants;holonic_engine::running_integral	no	none	no	no	2	THE CIRCUIT CLOSES AND THE FACE SUPERPOSES — the contact organs driven, artifacts returned
crates/holonic-engine/examples/the_committed_step_is_a_link_and_the_winding_cannot_see_it.rs	crates/holonic-engine	313	holonic_engine::leader_quadrature	no	none	no	no	1	**Two determination laws in one chain, and the coordinate that separates them is invisible to
crates/holonic-engine/examples/the_consequent_is_the_other_half_of_a_meaning.rs	crates/holonic-engine	1168	holonic_engine::derivation_atlas;holonic_engine::derivation_two_cells;holonic_engine::name_elaboration;holonic_engine::rebase_invariants	yes	none	no	no	1	Read the machine's own deposited names in **both** directions, and found the face at the
crates/holonic-engine/examples/the_contact_crosses_the_horizon_and_the_frame_cancels.rs	crates/holonic-engine	369	holonic_engine::clifford;holonic_engine::embedding_fiber;holonic_engine::exact_contact;holonic_engine::exact_value	no	none	no	no	1	**The exact bracket becomes a face that crosses a horizon, on real map material.**
crates/holonic-engine/examples/the_contact_population_is_read_exactly_and_the_order_needs_no_transcendental.rs	crates/holonic-engine	414	holonic_engine::embedding_fiber;holonic_engine::exact_contact;holonic_engine::exact_value;holonic_engine::exact_work;holonic_engine::foreign_map	yes	none	no	no	0	**Phoenix station three, its contact half: a real contact population, read exactly, with its
crates/holonic-engine/examples/the_contraction_is_tiled_and_the_scalar_owner_referees.rs	crates/holonic-engine	3162	holonic_engine::embedding_fiber;holonic_engine::exact_linear;holonic_engine::hardware_cover;holonic_engine::reduction_junction;holonic_engine::resident_section;holonic_engine::section_partition	yes	kernel+deposit	no	no	2	**The exact contraction, tiled — and the scalar owner refereeing every word of it.**
crates/holonic-engine/examples/the_cut_is_named_on_real_material.rs	crates/holonic-engine	995	holonic_engine::algebraic;holonic_engine::conditioned_derivation;holonic_engine::derivation_atlas;holonic_engine::derivation_integral;holonic_engine::running_integral;holonic_engine::spine_cut	yes	none	no	no	3	**Name the spine's cut on a real chain from this body.**
crates/holonic-engine/examples/the_cut_reads_the_seal_and_the_sink.rs	crates/holonic-engine	811	holonic_engine::spine_cut	yes	none	no	no	1	**The cut classifier joined to two materials: the machine's own sealed receipts, and the
crates/holonic-engine/examples/the_degree_is_a_rung.rs	crates/holonic-engine	1032	holonic_engine::arithmetic_monodromy;holonic_engine::quintic_chart;holonic_engine::rational_polynomial	no	none	no	no	3	The Tschirnhaus organ, driven up and down the degree ladder
crates/holonic-engine/examples/the_degree_ladder_is_pushed.rs	crates/holonic-engine	148	holonic_engine::arithmetic_monodromy;holonic_engine::quintic_chart	no	none	no	no	1	How far up the degree ladder the Tschirnhaus organ still returns, and what stops it
crates/holonic-engine/examples/the_development_declares_its_own_chain.rs	crates/holonic-engine	1171	holonic_engine::derivation_atlas;holonic_engine::lean_development;holonic_engine::name_elaboration	yes	none	no	no	4	The material was never missing; the intake could not resolve it
crates/holonic-engine/examples/the_dimension_is_measured_before_it_is_spent.rs	crates/holonic-engine	198	holonic_engine::embedding_fiber	no	none	no	no	3	**How much dimension a trained circuit actually carries — exactly, over integers.**
crates/holonic-engine/examples/the_dissection_shares_its_prefixes.rs	crates/holonic-engine	2051	holonic_engine::embedding_fiber;holonic_engine::phoenix;holonic_engine::resident_section;holonic_engine::source_occurrence	yes	kernel+deposit	yes	yes	6	**Deed H5: Station D returns with shared branches** — every taxon of the committed dissection
crates/holonic-engine/examples/the_emission_is_a_section_and_the_answer_is_a_block.rs	crates/holonic-engine	287	holonic_engine::embedding_fiber;holonic_engine::exact_value;holonic_engine::interaction;holonic_engine::ported_reference	yes	none	no	no	2	**Phoenix station seven: the emission is a section, and the answer is a block.**
crates/holonic-engine/examples/the_end_closes_the_frame_that_opened_it.rs	crates/holonic-engine	730	holonic_engine::lean_development	yes	deposit	no	no	1	Grade [`holonic_engine::lean_development::read_development`] against mathlib, on six populations
crates/holonic-engine/examples/the_foreign_map_founds_its_axes.rs	crates/holonic-engine	873	holonic_engine::cuda_refine;holonic_engine::exact_linear;holonic_engine::exact_value;holonic_engine::lattice_gauge;holonic_engine::receiver_exact_compression;holonic_engine::regime_reading;relational_geometry::exact	yes	card	no	no	7	The foreign map founds its axes
crates/holonic-engine/examples/the_foreign_source_is_manifested_without_omission.rs	crates/holonic-engine	215	holonic_engine::foreign_map	yes	none	no	no	1	**Source-mouth checkpoint: every declared population is manifested and a bounded population is
crates/holonic-engine/examples/the_front_is_co_present_or_the_gauge_moves_it.rs	crates/holonic-engine	283	holonic_engine::embedding_fiber;holonic_engine::ported_operation;holonic_engine::ported_reference	yes	none	no	no	2	**Phoenix station four: the front is co-present, or the gauge moves it.**
crates/holonic-engine/examples/the_front_is_ordered_until_a_certificate_unorders_it.rs	crates/holonic-engine	1172	holonic_engine::founded_receiver;holonic_engine::interchange;holonic_engine::lean_development;holonic_engine::receiver_exact_compression	yes	none	no	no	3	Two orders interchange exactly when no receiver in the founded family separates them
crates/holonic-engine/examples/the_gated_passage_is_a_front_and_the_layer_re_enters_twice.rs	crates/holonic-engine	313	holonic_engine::causal;holonic_engine::embedding_fiber;holonic_engine::interaction;holonic_engine::ported_reference	yes	none	no	no	1	**Phoenix station six: the gated passage is a front, and the layer re-enters twice.**
crates/holonic-engine/examples/the_graph_is_asked_the_ramanujan_question.rs	crates/holonic-engine	341	holonic_engine::rational_polynomial	no	none	no	no	1	**The Ramanujan question, asked — because a finite graph can answer it and this one never had.**
crates/holonic-engine/examples/the_head_reads_the_aim_and_the_census_is_four_classes.rs	crates/holonic-engine	894	holonic_engine::embedding_fiber;holonic_engine::exact_linear;holonic_engine::exact_work;holonic_engine::inertia	no	none	no	no	4	**A real attention head's own directions, put to the census a score cannot take — and the exact
crates/holonic-engine/examples/the_hinge_automaton_runs_as_an_orbit.rs	crates/holonic-engine	492	holonic_engine::discrete_curvature;holonic_engine::hardware_cover;relational_geometry::rat	no	none	no	no	2	THE HINGE AUTOMATON RUNS AS AN ORBIT — Brandon's triangular hinge automaton, iterated
crates/holonic-engine/examples/the_hinge_carries_the_curvature.rs	crates/holonic-engine	682	holonic_engine::conditioned_derivation;holonic_engine::contact_gluing;holonic_engine::multiquadratic	no	none	no	no	4	THE HINGE CARRIES THE CURVATURE — the rung, correctly indexed, measured on real material
crates/holonic-engine/examples/the_horizon_is_the_cone_not_the_constant.rs	crates/holonic-engine	433	holonic_engine::corpus_census;holonic_engine::token_invariance	yes	none	no	no	1	The horizon is a reading, not a level, and the cost of a receiver is the volume of its cone
crates/holonic-engine/examples/the_horizon_is_the_laws_own_fixed_point.rs	crates/holonic-engine	490	holonic_engine::derivation_atlas;holonic_engine::derivation_capacitance	yes	none	no	no	1	The chronology horizon a capacitance reading conducts at, taken from the transport law's own
crates/holonic-engine/examples/the_integer_holonomy_cannot_see_the_torsion_class.rs	crates/holonic-engine	906	holonic_engine::algebraic;holonic_engine::causal;holonic_engine::rebase_invariants;holonic_engine::running_integral	no	none	no	no	2	The tree's holonomy instrument was blind to the class the tree's invariant instrument found,
crates/holonic-engine/examples/the_integral_is_decided_by_rank_and_recognised_before_it_runs.rs	crates/holonic-engine	321	holonic_engine::elementary_chart;holonic_engine::rational_polynomial;relational_geometry::exact	no	none	no	no	2	A table of integration methods is not a list of heuristics. It is an atlas
crates/holonic-engine/examples/the_integral_is_the_pair.rs	crates/holonic-engine	1394	holonic_engine::algebraic;holonic_engine::causal;holonic_engine::running_integral	no	none	no	no	1	The integral is the pair, and the disagreement is the holonomy
crates/holonic-engine/examples/the_integrand_is_read_and_the_organ_names_its_transcendental.rs	crates/holonic-engine	1136	holonic_engine::elementary_chart;holonic_engine::hermite_reduction;holonic_engine::lean_development;holonic_engine::rational_polynomial	yes	none	no	no	1	**A mathlib statement carried into a symbolic object an atlas transport acts on.**
