code.perron-transition	navigator, ratio, receiver	P(s→t)=w_st·v_t/(λ·v_s); Σ_t P(s→t)=1 when Σ_t w_st·v_t=λ·v_s	a positive Perron mode normalizes nonnegative edge weights into a transition law	v_s≠0, λ≠0, row eigen-equation; P≥0 needs w≥0, v>0, λ>0	L:Foundation/ReceiverCodeCost:perronTransition_normalized; L:Foundation/ReceiverCodeCost:perronTransition_nonnegative	formal-checked	uses:compression.perron-code-balance
info.preimage-fibre	compression, receiver	q(x)=q(y) ⇒ x,y ∈ q⁻¹(q x);  a section s with q∘s=id is extra structure and does not make the fibre a singleton	a quotient face keeps its complete predecessor population; literal occurrences stay plural when their native state is equal	receiver-exact compression	L:Foundation/ReceiverQuotient:quotient_eq_places_both_in_one_fibre; L:Foundation/ReceiverQuotient:QuotientSection.lift; L:Foundation/CompleteReceiverHistory:quotientEqualityRetainsBothOccurrences; L:Foundation/ReceiverHistoryCompression:quotientEqPlacesBothOccurrencesInOneFibre	formal-checked	dual-of:compression.kernel, uses:compression.complete-history-identity
fibre.binary-exponential-shift	ratio, receiver, compression	q(u₁,u₂)=u₂−u₁,  q(u₁+c,u₂+c)=q(u₁,u₂), and the binary exponential face is blind to c	the binary exponential receiver factors through the oriented potential difference; a common shift is a direction inside one fibre	real potentials	L:Foundation/ReceiverQuotient:binaryExponentialQuotient_common_shift; L:Foundation/ReceiverQuotient:binaryExponentialReceiver_common_shift; L:Foundation/ReceiverQuotient:binaryCommonShiftFibre	formal-checked	instance-of:norm.shift-fibre, uses:receipt.quotient-preimage-fibre
loss.comparison-gauge	ratio, receiver, receipt	loss(cell) = g(r(P.tgt), r(Q.tgt));  agreement ⇒ loss = g(y,y);  r(P.tgt) − r(Q.tgt) = 0 ⇔ the cell commutes at r	a loss is a declared gauge on the two faces of an addressed comparison; zero on agreement and symmetry are additional properties	comparison cell of two parallel passages; signed difference needs an additive face	L:Foundation/ComparisonLoss:loss_of_receiver_agreement; L:Foundation/ComparisonLoss:orientedDifference_zero_iff	formal-checked	specializes:ratio.log-branch
loss.rechart	ratio, receiver	g′(χ a, χ b) = g(a,b) ⇒ loss_{χ∘r, g′} = loss_{r, g}	a chart change preserves a comparison measurement only when it carries the gauge with it	compatible gauge pair	L:Foundation/ComparisonLoss:loss_rechart	formal-checked	uses:loss.comparison-gauge
xent.scalar-fibre	receiver, receipt, compression	H_r(a) = H_r(b) ⇒ a,b ∈ H_r⁻¹(H_r(a)); a successor separating a,b does not factor through H_r	one cross-entropy number is a receiver fibre, not an identification; a later receiver that separates the fibre is not a function of it	finite positive normalized receiver chart	L:Foundation/FiniteCrossEntropyReceiver:same_fibre_of_equal_face; L:Foundation/FiniteCrossEntropyReceiver:no_successor_factor_of_equal_face; L:Foundation/FiniteCrossEntropyReceiver:mem_preimageFibre_iff	formal-checked	face-of:xent.passage-production
xent.decomposition	receiver, ratio	H(p,q) = H(p) + D(p‖q),  D(p‖q) = Σ p_i(log p_i − log q_i) ≥ 0,  H(p,p) = H(p)	cross-entropy splits into the receiver's own entropy and its KL excess; Gibbs' inequality on the common positive support	finite strictly positive normalized sections p, q	L:Foundation/InformationReceiver:crossEntropy_eq_entropy_add_kl; L:Foundation/InformationReceiver:klDivergence_nonnegative; L:Foundation/InformationReceiver:klDivergence_eq_logDifference; L:Physics/InformationDifference:crossEntropy_excess_eq_kl	formal-checked	face-of:xent.passage-production
xent.entropy-fibre	receiver, compression	(1/3, 2/3) ≠ (2/3, 1/3) with H equal	equal entropy is a genuine many-to-one receiver quotient of the section	Bool witness	L:Foundation/InformationReceiver:entropyFace_doesNotDetermineSection	counterexample	instance-of:xent.scalar-fibre
xent.self-nonzero	receiver	H(u,u) = ln 2 ≠ 0 for the uniform binary section u	cross-entropy with itself is the entropy, not zero; agreement does not zero it	Bool uniform section	L:Physics/InformationDifference:halfSection_crossEntropy_ne_zero	counterexample	uses:xent.decomposition
xent.physical-occurrence	receiver, receipt, holon	event = (addressed membrane crossing with its returned potential and current) × (action receiver section);  scalarFace = −Σ ref_i log emitted_i(action)	a physical information occurrence keeps its complete crossing beside the later probability receiver; the scalar face may not replace the product	finite positive action receiver	L:Foundation/InformationReceiver:scalarFace_is_receiver_projection; L:Foundation/InformationReceiver:PhysicalCrossEntropyOccurrence	definition	uses:xent.scalar-fibre
xent.no-current-factor	receiver, receipt, holon	H_r(a)=H_r(b), current(a) ≠ current(b) ⇒ ¬∃f: current = f∘H_r	a scalar cross-entropy face cannot determine a later physical current face	two admitted actions sharing the scalar and differing in current	L:Physics/InformationDifference:no_current_factor_of_equal_crossEntropy	formal-checked	instance-of:xent.scalar-fibre
xent.thermal-identity	receiver, constitution	T·log q_i = −E_i − T·log Z ⇒ T·H(p,q) = E_p[E] + T·log Z	against a canonical (Gibbs) receiver, cross-entropy in thermal units is mean energy plus the log partition	q canonical at thermal scale T	L:Physics/InformationDifference:thermal_crossEntropy_identity	formal-checked	uses:xent.free-energy-kl
xent.free-energy-kl	receiver, constitution	F_T(p) − F_T(q) = T·D(p‖q),  F_T(p) = E_p[E] − T·H(p), q canonical	the free energy of p over the equilibrium q is its KL divergence in thermal units (k_BT·D)	T·log q_i = −E_i − T·log Z	L:Physics/InformationDifference:freeEnergy_difference_eq_thermalScale_mul_kl; D:canon/THE_RELEVANCE_HYPOTHESIS.md	formal-checked	face-of:xent.passage-production, uses:xent.decomposition
xent.lifted-cross-entropy	ratio, receiver, parametron	H̃(p,q;θ) = H(p,q)/ln2 − i(2/ln2)Σ p_i θ_i;  Re H̃ = H(p,q)/ln2	the lifted complex cross-entropy pairs the code length in bits with the retained phase-lift reading; the factor 2 converts amplitude log to intensity log	positive sections, real phase lifts θ	L:Physics/InformationDifference:liftedCrossEntropy; L:Physics/InformationDifference:liftedCrossEntropy_real	definition	face-of:ratio.lifted-cross-entropy-excess
xent.lifted-excess	ratio, receiver	H̃(p,q;θ_R) − H̃(p,p;θ_S) = D(p‖q)/ln2 − i(2/ln2)·E_p[θ_R − θ_S]	the lifted excess is KL bits plus the phase excess, the same split as loss = log ratio	positive sections	L:Physics/InformationDifference:liftedCrossEntropy_excess	formal-checked	uses:xent.lifted-cross-entropy, face-of:ratio.lifted-cross-entropy-excess
xent.lifted-conjugate	ratio	H̃(p,q;−θ) = conj H̃(p,q;θ);  a common channel shift θ↦θ+c cancels from the excess	the code-length face is even and the phase face odd under lift conjugation; a common rechart of both lifts cancels	positive sections	L:Physics/InformationDifference:liftedCrossEntropy_conjugate; L:Physics/InformationDifference:liftedCrossEntropy_commonPhase	formal-checked	uses:xent.lifted-excess
fibre.difference-receiver	ratio, receiver, receipt	face(x,y) = read(χ(y) − χ(x));  Δ(y,x) = −Δ(x,y);  read injective ⇒ (face equal ⇔ Δ equal);  read even ⇒ face(y,x) = face(x,y)	a magnitude is a non-injective receiver reading of an oriented chart difference; an even reading such as a norm forgets orientation	additive chart χ	L:Foundation/MeasuredDifferenceReceiver:face_factors_through_returnedDifference; L:Foundation/MeasuredDifferenceReceiver:returnedDifference_reverse; L:Foundation/MeasuredDifferenceReceiver:face_eq_iff_returnedDifference_eq_of_injective; L:Foundation/MeasuredDifferenceReceiver:face_reverse_of_even	formal-checked	uses:ratio.div-rem
fibre.length-receiver	receiver	‖y − x‖ = 0 ⇔ y = x;  ‖x − y‖ = ‖y − x‖	zero measured length is equality of the addressed occurrences, and length forgets orientation	normed additive chart	L:Foundation/MeasuredDifferenceReceiver:lengthReceiver_face_eq_zero_iff; L:Foundation/MeasuredDifferenceReceiver:lengthReceiver_face_reverse	formal-checked	instance-of:fibre.difference-receiver
fibre.difference-ratio	ratio, constitution	κ(x,y) = (N(y)−N(x))/(D(y)−D(x)) is blind to separate zero offsets of N and D;  κ·ΔD = ΔN when ΔD ≠ 0	a constitutive coefficient measured as one returned difference per another is independent of both chart zeros and is its cross-multiplied relation	ΔD ≠ 0 for the cross-multiplied form	L:Foundation/MeasuredDifferenceReceiver:differenceRatio_add_common; L:Foundation/MeasuredDifferenceReceiver:differenceRatio_mul_denominator; L:Foundation/MeasuredDifferenceReceiver:sectionDifference_add_common	formal-checked	instance-of:ratio.div-rem
norm.binary-logistic	ratio, receiver	e^{u₂}/(e^{u₁}+e^{u₂}) = σ(u₂ − u₁);  Δu equal ⇒ face equal	binary normalization collapses two potentials to their one oriented difference; the converse would still not reconstruct the potentials	real potentials	L:Foundation/MeasuredDifferenceReceiver:binaryExponentialFace_eq_logisticDifference; L:Foundation/MeasuredDifferenceReceiver:binaryExponentialFace_eq_of_difference_eq; L:Foundation/MeasuredDifferenceReceiver:binaryExponentialFace_add_common	formal-checked	specializes:norm.normalized-exponential, instance-of:fibre.difference-receiver
learn.logit-covector	ratio, receiver, navigator	∂_{s_j} H(q, softmax s) = p_j − q_j;  along s+x·d: E_p[d] − E_q[d];  Σ_j (p_j − q_j) = 0	the cross-entropy logit gradient is produced minus target; it pairs to zero with the common gauge direction; q − p is the descent covector	q positive target section, p = softmax(s)	L:Objects/Ratio:hasDerivAt_crossEntropy_coordinate; L:Objects/Ratio:hasDerivAt_crossEntropy_sectionLine; L:Objects/Ratio:sum_logitCovector; D:HNN_FORMULA.md#3-learning-is-variation-of-these-operators	formal-checked	face-of:info.learning-covector, uses:ratio.logit-covector
info.learning-covector	ratio, navigator, holon	R_i⁻¹dR_i = (E_H[ds] − ds_i)/2 − i·dφ_i  along a produced velocity (ds, dφ);  along logit j alone: (p_j − [i=j])/2	the learning covector is the logarithmic derivative of the Holon ratio, computed without choosing a branch of log	R_i = z^T_i/z^H_i, H = softmax(s), produced lifts φ	L:Objects/RatioPhase:ratio_logDerivative_curve; L:Objects/RatioPhase:ratioCovector; L:Objects/Ratio:ratio_logDerivative_logit; L:Objects/Ratio:hasDerivAt_logRatio_logit	formal-checked	uses:ratio.log-branch, uses:ratio.full-covector
norm.normalized-exponential	ratio, receiver	Z(u) = Σ e^{u_i} > 0,  p_i = e^{u_i}/Z,  log p_i = u_i − log Z,  p_a ≤ p_b ⇔ u_a ≤ u_b	softmax is a positive normalized receiver face of the complete potential population; log mass keeps its potential and the common normalization boundary	finite nonempty index	L:Computation/HolonicAdjointNormalization:face; L:Computation/HolonicAdjointNormalization:log_face_mass; L:Computation/HolonicAdjointNormalization:face_mass_le_iff; L:Computation/HolonicAdjointNormalization:partition_pos; R:holonics::ratio::exponentiated::NormalizedKernel	formal-checked	instance-of:ratio.log-branch
norm.shift-fibre	ratio, receiver, compression	Z(u + c) = Z(u)·e^{c},  softmax(u + c) = softmax(u);  softmax(u) = softmax(v) ⇔ ∀i,j: u_i − u_j = v_i − v_j	a common additive potential is exactly the fibre of the normalized receiver; pairwise differences are a complete invariant	finite index	L:Computation/HolonicAdjointNormalization:partition_add_common; L:Computation/HolonicAdjointNormalization:face_add_common; L:Computation/HolonicAdjointNormalization:face_eq_iff_pairwise_differences	formal-checked	specializes:compression.kernel
norm.anchor-constant	ratio, receiver, navigator	softmax(a + δ) = softmax(δ) ⇔ ∀i,j: a_i = a_j	a predicted increment carries the full next-current face only when the omitted anchor is a common potential; a nonconstant current is not a gauge	finite index	L:Computation/HolonicAdjointNormalization:face_add_eq_iff_anchor_constant	formal-checked	uses:norm.shift-fibre
norm.laplacian-return	ratio, receiver, complex	J δ = β(diag p − ppᵀ)δ,  (Jδ)_i = β p_i(δ_i − E_p δ);  J·1 = 0,  Σ_i (Jδ)_i = 0,  ⟨δ, Jδ⟩ = β(E_p[δ²] − (E_p δ)²)	the softmax differential is the weighted complete-graph Laplacian: the gauge direction is its exact kernel, it conserves total probability current, and its quadratic face is the variance	p a positive section, β the inverse temperature	L:Computation/HolonicAdjointNormalization:laplacianReturn; L:Computation/HolonicAdjointNormalization:laplacianReturn_const; L:Computation/HolonicAdjointNormalization:sum_laplacianReturn_zero; L:Computation/HolonicAdjointNormalization:quadratic_laplacianReturn; L:Computation/HolonicAdjointNormalization:hasDerivAt_face_mass_sectionLine	formal-checked	uses:norm.normalized-exponential, face-of:ratio.log-partition-derivative
norm.sigmoid-binary	ratio, receiver	σ(u) = softmax(u, 0)_true,  σ′(u) = σ(u)(1 − σ(u))	the sigmoid is the binary normalized exponential, and its derivative is the returned binary covariance face	real potential	L:Computation/HolonicAdjointNormalization:sigmoid_is_binary_normalized_exponential; L:Computation/HolonicAdjointNormalization:hasDerivAt_sigmoidFace	formal-checked	specializes:norm.laplacian-return
norm.centering	receiver, compression	Σ_i (x_i − x̄) = 0,  center(x + c) = center(x),  var(x + c) = var(x),  N·meanSquare = Σ x_i²	centering deletes exactly a common additive displacement; layer variance is the RMS energy of the centred section	finite population N>0	L:Computation/HolonicAdjointNormalization:sum_centered_zero; L:Computation/HolonicAdjointNormalization:centered_add_common; L:Computation/HolonicAdjointNormalization:centeredMeanSquare_add_common; L:Computation/HolonicAdjointNormalization:population_mul_meanSquare	formal-checked	instance-of:norm.shift-fibre
norm.gradient-chart	coholon, receiver	∇_g f = g♯(df),  g♭(∇_g f) = df;  ∇_g f = ∇_{g′} f ⇔ g♯ df = g′♯ df	the gradient is the covector raised in a declared metric chart; changing the chart can change the gradient while the covector stays fixed	declared tangent–cotangent identification	L:Computation/HolonicAdjointNormalization:lower_gradient; L:Computation/HolonicAdjointNormalization:gradient_eq_iff_same_chart_preimage	formal-checked	dual-of:learn.logit-covector
norm.adjoint-scale	navigator, coholon	T*(a·r) = a·T*(r);  (B∘A)* c = A*(B* c)	a declared scalar readout crosses the linear causal adjoint, and adjoints compose in reverse order	finite-dimensional inner-product spaces; interval realizations owe a projection bound	L:Computation/HolonicAdjointNormalization:causalAdjoint_carries_declared_scale; L:Computation/HolonicAdjointNormalization:dualMap_comp_reverse_order	formal-checked	uses:info.learning-covector
norm.source-derived-scatter	constitution, navigator, holon	P(q,b) = (K⁻¹(q + Db), Dᵀ K⁻¹(q + Db)),  K⁻¹(1 + DDᵀ) = 1 ⇒ P² = P,  S = 2P − 1, S² = 1	the normal solve of the joint (q,b) operand is an idempotent projection, and its scatter 2P−1 is an involution (a Swing about the solution subspace)	normal-solve hypothesis K⁻¹(1 + D Dᵀ) = 1	L:Computation/HolonicAdjointNormalization:sourceDerivedProjection_idempotent; L:Computation/HolonicAdjointNormalization:sourceDerivedScatter_involutive	formal-checked	
norm.held-relaxation	constitution, navigator, coholon	z′ = H a + (1 − H)((1 − μ)a + μ S z);  linear part L = (1 − H)μS;  pullback c ↦ Lᵀc;  z′(S²z) = z′(z)	the joint held relaxation keeps the held mask and scatter on the full operand; its covector return is the dual of its linear part, and the anchor has no differential	linear hold mask H, relaxation μ, scatter S from the normal solve	L:Computation/HolonicAdjointNormalization:jointHeldRelaxation_linear_part; L:Computation/HolonicAdjointNormalization:jointHeldPullback_eq_dual_linear_part; L:Computation/HolonicAdjointNormalization:sourceDerived_jointHeldRelaxation_scatter_invariant	formal-checked	uses:norm.source-derived-scatter
norm.entropy-not-governor	receiver, compression	¬∃ f: ℝ → (Bool → ℝ) with p = f(H(p)) for every positive binary section	entropy does not govern a complete morphology: the section is not a function of its entropy	Bool positive sections	L:Computation/HolonicAdjointNormalization:entropy_doesNot_govern_complete_morphology	counterexample	instance-of:xent.entropy-fibre
norm.attention-class-exact	compression, receiver, navigator	(Σ_i b(q,π i)w_i)⁻¹ Σ_i b(q,π i)w_i v_i with class carriers (m_c, J_c) = (Σ_{π i=c} w_i, Σ_{π i=c} w_i v_i): denominator = Σ_c b(q,c)m_c, numerator = Σ_c b(q,c)J_c	normalized kernel-weighted attention aggregates exactly by class when the score factors through the class; the (mass, current) pair is the compositional carrier	score b(q,·) constant on each class π, denominator ≠ 0	L:Computation/AttentionModeCompression:normalized_attention_exact; L:Computation/AttentionModeCompression:classMass_sum; L:Computation/AttentionModeCompression:classCurrent_sum; L:Computation/AttentionModeCompression:linear_summary_transport	formal-checked	uses:compression.kernel
norm.mass-current-associative	compression	(m_a + m_b + m_c, (J_a + J_b) + J_c) = (m_a + (m_b + m_c), J_a + (J_b + J_c));  ((0+0)/2 + 4)/2 ≠ (0 + (0+4)/2)/2	the (mass, current) pair composes associatively, while an unweighted running mean does not; normalization is a receiver projection, not a carrier	real masses, vector currents	L:Computation/AttentionModeCompression:weighted_summary_associative; L:Computation/AttentionModeCompression:unweighted_mean_not_associative	formal-checked	uses:norm.attention-class-exact
norm.attention-gibbs	receiver, navigator	softmax(s) = π_L with L_i = −s_i/ln2;  F(π_L) ≤ F(q)	an attention score face is the Gibbs posterior of the negated scores in bits and minimizes the attention free energy	finite nonempty index	L:Computation/AttentionModeCompression:score_face_eq_posterior; L:Computation/AttentionModeCompression:attention_free_energy_minimum	formal-checked	uses:infer.gibbs-posterior, uses:infer.variational-gap
norm.layer-norm-scope	receiver	mean-zero unit-variance in ℝ²: at a constant input both (1,−1) and (−1,1) are nearest;  per-feature gain moves the constraint surface: (−1,2) leaves it	the projection step of layer normalization has plural nearest directions at a constant input, and a learned anisotropic gain changes the constraint face	two-feature witnesses	L:Computation/NormalizationProjectionScope:constant_input_retains_two_directions; L:Computation/NormalizationProjectionScope:anisotropic_gain_changes_constraint_face	counterexample	uses:norm.centering
norm.projection-normal	receiver	input −1 projected to 0 on [0,∞): input − projection = −1 is the outward normal	the normal-cone sign convention of a projection step is outward	scalar witness	L:Computation/NormalizationProjectionScope:projection_normal_sign	formal-checked	
info.standing-quotient	compression, receiver, navigator	∃ StandingLaw with retain ρ ⇔ ∀ receiver r, word w: r∘T_w factors through ρ  (ρ x = ρ y ⇒ r(T_w x) = r(T_w y))	retention may be any quotient through which every admitted future observation factors, and no other; nothing requires injectivity or recoverable history	nonempty face type	L:Foundation/Standing:standingLaw_exists_iff_future_factors; L:Foundation/Standing:futureAgreement_of_retain_eq; R:holonics::receiver::standing	formal-checked	equiv:compression.future-agreement-greatest-stable, specializes:compression.kernel, generalizes:aeon.boundary-retention
standing.two-histories-one	compression, deposition	carrier (state, medium); advanceState once vs twice: distinct presents, equal medium retention, medium(T_w c) = medium(c) + #deposits(w)	different histories can leave one retention; histories need not be recoverable, and no event archive is owed	ℚ² witness with two passages	L:Foundation/Standing:two_histories_leave_one_standing; L:Foundation/Standing:medium_after_word	counterexample	obstructs:compression.two-histories-one-standing
standing.memory-generated	compression, receiver, aeon	m_t = D_t(S_t, c_t) : TimedFace t;  a remembered face occurs at t, not at the original's time	a remembered face is generated now from retention and present context, not retrieved; it is a new occurrence of a different type	memory law D_t with declared present time	L:Foundation/Standing:the_remembered_face_is_a_new_occurrence; L:Foundation/Standing:MemoryLaw.remember	formal-checked	uses:info.standing-quotient, uses:receipt.memory-is-generated
standing.agreement-not-recovery	receiver	∃ passage, receiver: r(T original) = r(reconstruction) with carried values different	receiver agreement after a passage is agreement at that receiver's scope, not recovery of the original	TimedFace witness over ℚ²	L:Foundation/Standing:receiver_agreement_after_the_passage_is_not_recovery	counterexample	obstructs:standing.memory-generated
standing.context-reconstruction	compression, receiver	D_5(1, 0) ≠ D_5(1, 1);  one original under one-deposit vs two-deposit later retention reconstructs differently	one retention under two contexts returns two faces, and one original under two later retentions returns two reconstructions: reinterpretation is the retention changing	rational memory witness	L:Foundation/Standing:one_standing_two_contexts_two_faces; L:Foundation/Standing:one_original_two_standings_two_reconstructions	counterexample	uses:standing.memory-generated, uses:receipt.memory-is-generated
standing.confident-wrong	compression, receiver	song = (melody, timbre), retention = melody: melody faithful, timbre not, yet the reconstruction returns a definite timbre 0 where the original had 1	a receiver the retention did not keep is reconstructed confidently and wrongly	ℚ² witness	L:Foundation/Standing:the_unretained_receiver_is_reconstructed_confidently_and_wrongly; L:Foundation/Standing:timbreIsNotRetained	counterexample	obstructs:receipt.memory-is-generated, generalizes:receipt.unretained-reconstructed-wrongly
fibre.aperture-chain	receiver, tower, compression	A_t x = (x₀,…,x_{t−1},0,…);  A_s∘A_t = A_s (s≤t);  changing-receiver defect 0;  F_{t+1} ⊆ F_t;  ∀t ∃ x ∈ F_t∖F_{t+1}, x ≠ ref	an aperture refinement chain narrows the compatible fibre at every step while the source does not change, and no finite step reaches a singleton	sources ℕ → ℚ	L:Foundation/Standing:aperture_comp_of_le; L:Foundation/Standing:aperture_chain_has_zero_changing_receiver_defect; L:Foundation/Standing:compatibleFibre_antitone; L:Foundation/Standing:the_fibre_is_never_a_singleton_and_a_later_step_separates	formal-checked	uses:info.preimage-fibre, uses:receipt.aperture-chain
fibre.aperture-no-transformer	receiver	IsEmpty(ReceiverTransformer(A_t, A_{t+1}))	the later aperture's separation is new content, not a reading of the earlier face	aperture chain	L:Foundation/Standing:no_transformer_from_the_coarser_aperture; L:Foundation/Standing:apertureInsufficiency	formal-checked	uses:fibre.aperture-chain
standing.extinct	receiver, navigator, receiver	Extinct_{R,G,ε}(x|0) ⇔ ∀r∈R ∀w∈G*: |r(T_w x) − r(T_w 0)| ≤ ε ⇔ width of r over {T_w x, T_w 0} ≤ ε	a perturbation is extinct only relative to a receiver family and a tolerance; extinction is the release width inside tolerance on the two-point family	ℚ-valued readings	L:Foundation/Standing:extinct_iff_release_width_inside_tolerance; L:Foundation/Standing:width_pair; L:Foundation/Standing:Extinct	formal-checked	uses:release.width, uses:receipt.extinction-is-release
standing.fossil	receiver, deposition, constitution	(a,e,m) ↦ (a/2, e/4, m + e/4) from (1,1,0): at step 3 the wave chart is extinct at 1/8, the medium reads 21/64 > 1/8 forever, m_t < 1/3, e₀ − e_t = m_t + dissipated_t	a wave dies relative to its chart while its deposit into the medium is a durable inscription separated by a richer receiver; the energy ledger closes exactly	exact ℚ witness, e = a² at every step	L:Foundation/Standing:the_wave_is_extinct_at_horizon_three; L:Foundation/Standing:the_medium_separates_what_the_wave_chart_declared_extinct; L:Foundation/Standing:the_fossil_is_durable; L:Foundation/Standing:the_energy_that_left_the_wave_is_accounted_for; L:Foundation/Standing:the_inscription_stays_below_its_limit	counterexample	uses:standing.extinct, uses:deposition.constitution-is-sufficient-retention, generalizes:receipt.fossil
