complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
complex.cycle-filling	complex, compression	fill: Z_k → C_(k+1) with ∂∘fill = inclusion ⇒ exact at k, H_k = 0	a cycle filling keeps the current that realizes vanishing homology; it is the minimal constructive input, weaker than a contraction	chain complex of modules	L:Foundation/CycleFilling:exactAt; L:Foundation/CycleFilling:homologyIsZero; L:Foundation/CycleFilling:CycleFilling	formal-checked	
complex.diagonal-alexander-whitney	complex, contact	diagonal boundary then separation = separated boundary (degrees 0–3); degree-two separation into 0×2, 1×1, 2×0 with the 1×1 off-axis population kept; round-trip defect = boundary of a filler	the degree-two Alexander–Whitney law as an elementary transport: the middle interaction current is neither discarded nor identified with a ruling	free rational currents on product simplices	L:Foundation/DiagonalChainTransport:boundary_separateTwo; L:Foundation/DiagonalChainTransport:boundary_separateThree; L:Foundation/DiagonalChainTransport:diagonalReconstructionHomotopyTwo; L:Foundation/DiagonalChainTransport:diagonalRoundTripDefectTwo_eq_boundary_of_cycle	formal-checked	
holon.orientation-reversing-walk	holon, coholon, complex	∏_i r_i = −1 ⇒ ¬∃ s: Face→ℤ, s²=1, s(c_i)·s(c_(i+1)) = r_i	a closed walk of faces whose joint relations multiply to −1 admits no orientation	any face carrier, closed walk c: Fin(k+1)→Face	L:Objects/Orientation:reversing_closed_walk_has_no_orientation; L:Objects/Pairing:no_orientation_of_reversing_cycle	formal-checked	
holon.orientation-preserving-cycle	holon, complex	c injective, r_i²=1, ∏ r_i = 1 ⇒ ∃ s, s²=1, s(c_i)s(c_(i+1)) = r_i (extended by +1 off the cycle)	a preserving simple cycle is orientable on the whole carrier	injective cycle	L:Objects/Orientation:preserving_simple_cycle_has_orientation; L:Objects/Pairing:orientation_of_preserving_cycle	formal-checked	dual-of:holon.orientation-reversing-walk
holon.junction-orientation-vacuous	holon	∀ s: Unit→ℤ, s²=1 ⇒ s()·s() = 1 ≠ −1	the old JunctionLaw orientation hypothesis carries no loop datum; it is the one-face case of the cycle theorem	one face, self-joint	L:Objects/Orientation:junction_hypothesis_is_refuted_by_unit_alone; L:Objects/Orientation:junction_statement_from_cycle	counterexample	specializes:holon.orientation-reversing-walk
holon.mobius-annulus-orientation	holon, complex	Möbius two faces r=(1,−1): ∏=−1, no orientation though each joint is satisfiable; annulus r=(−1,−1): oriented by s=(1,−1)	orientability is a cycle product, not a joint-by-joint property	two-face witnesses	L:Objects/Orientation:two_face_mobius_band; L:Objects/Orientation:two_face_annulus	formal-checked	instance-of:holon.orientation-reversing-walk
holon.coholon	coholon, holon	⟨Ȟ| ∈ Module.Dual R Chain;  face ⟨Ȟ|H⟩;  d = ∂ᵀ = ∂.dualMap	a coholon is the dual (potential/receiver) of the Holon's chain module, not a new type; the face is their pairing	commutative ring R	L:Objects/Pairing:Coholon; D:docs/ELEMENTARY_OBJECTS.md#1-holon-and-coholon	definition	
holon.face-is-potential-drop	holon, coholon, receipt	⟨φ, ∂(receive o)⟩ = φ(target o) − φ(source o)	a coholon read on the boundary of a Holon's returned current is the drop across the occurrence	BoundaryHolon	L:Objects/Pairing:face_is_potential_drop; L:Objects/Pairing:coboundary_face	formal-checked	uses:holon.stokes
holon.total-face-interior-cancels	holon, coholon	⟨dφ, Σ_o H(o)⟩ = φ(totalTarget) − φ(totalSource)	over a finite occurrence population every joined interior port cancels	finite occurrences, linear ∂	L:Objects/Pairing:coboundary_total_face; L:Foundation/Holon:BoundaryHolon	formal-checked	uses:holon.face-is-potential-drop
holon.exact-silent-on-closed	holon, coholon	totalTarget = totalSource ⇒ ⟨dφ, H_total⟩ = 0 ∀φ	an exact coholon is silent on a closed population	finite occurrences	L:Objects/Pairing:exact_coholon_silent_on_closed	formal-checked	uses:holon.total-face-interior-cancels
holon.path-face-witness	holon, coholon	path 0→1→2, φ=(0,2,5): ⟨dφ, e₁⟩ = 3, ⟨dφ, e₀+e₁⟩ = 5 = φ(2)−φ(0)	the interior node cancels on the whole population	witness	L:Objects/Pairing:path_faces	formal-checked	instance-of:holon.total-face-interior-cancels
holon.face-joint-reorientation	holon, coholon	s_i² = 1 ⇒ ⟨s·ω, s·z⟩ = ⟨ω, z⟩;  reorienting one side negates the reversed cell; Stokes: ⟨(∂∘s)ᵀφ, s z⟩ = ⟨∂ᵀφ, z⟩	orientation exists only in the pairing: reorienting both sides changes no face	unit signs	L:Objects/Pairing:face_unchanged_by_joint_reorientation; L:Objects/Pairing:one_side_reorientation_negates_the_cell; L:Objects/Pairing:stokes_face_independent_of_orientation	formal-checked	uses:holon.stokes
holon.face-invariance-forces-unit-signs	holon, coholon	(∀ω,z ⟨s·ω, s·z⟩ = ⟨ω,z⟩) ⇒ ∀i s_i² = 1 ⇒ closed-walk holonomy ∏ = 1	only unit signs preserve every face, and such a reorientation has trivial holonomy on every closed dual walk	char 0	L:Objects/Pairing:face_invariance_forces_unit_signs; L:Objects/Pairing:pairing_preserving_reorientation_has_trivial_closed_holonomy	formal-checked	uses:holon.face-joint-reorientation
holon.reorientation-witness	holon, coholon	ω(z)=z₀+3z₁, z=(2,5), s=(1,−1): joint reorientation reads 17 = 17; chain-only reads −13	the orientation is visible only when the two sides disagree	witness	L:Objects/Pairing:reorientation_witness	formal-checked	instance-of:holon.face-joint-reorientation
holon.three-cycle-orientation	holon, complex	r=(1,1,−1): ∏=−1, none; r=(−1,−1,1): s=(1,−1,1); Möbius seam k=0, r=(−1): none	orientation witnesses on a 3-cycle and a one-cell seam	witness	L:Objects/Pairing:three_cycle_orientation_witness	formal-checked	instance-of:holon.orientation-reversing-walk
holon.pairing-descends-to-classes	holon, coholon, complex	∂z=0 ⇒ ⟨ω + dη, z⟩ = ⟨ω, z⟩;  dω=0 ⇒ ⟨ω, z + ∂c⟩ = ⟨ω, z⟩;  ⟨ω + B₁ᵀη, z + B₂c⟩ = ⟨ω,z⟩ when B₁B₂=0	a coboundary is invisible to a cycle and a boundary to a cocycle, so one bilinear pairing H¹×H₁→R exists	any Module.Dual; quotient in the cell-coordinate chart	L:Objects/Pairing:pairing_add_coboundary; L:Objects/Pairing:pairing_add_boundary; L:Objects/Pairing:classPairing; L:Objects/Pairing:classPairing_representatives	formal-checked	uses:holon.stokes
holon.nonzero-pairing-certifies	holon, coholon, complex	dω=0, ∂z=0, ⟨ω,z⟩ ≠ 0 ⇒ ω ∉ range d ∧ z ∉ range ∂	a cocycle pairing nonzero with a cycle certifies both a nontrivial cohomology class and a nontrivial homology class	any ring	L:Objects/Pairing:nonzero_pairing_certifies	formal-checked	uses:holon.pairing-descends-to-classes
holon.coordinate-stokes	holon, coholon	⟨Bᵀη, z⟩ = ⟨η, B z⟩	Stokes in the cell-coordinate chart: the coboundary is the transpose of the boundary matrix	finite cells	L:Objects/Pairing:coordinate_stokes	formal-checked	instance-of:holon.stokes
holon.hollow-square-class-pairing	holon, coholon, complex	square 0,1,2,3 with filled f=e₀+e₁−e₄ and hollow e₂+e₃+e₄: ∂₁∂₂=0, ⟨[e₃*], [e₂+e₃+e₄]⟩ = 1, ⟨e₃*, ∂f⟩ = 0	a cocycle that is not a coboundary pairs to 1 with a cycle that is not a boundary	witness	L:Objects/Pairing:square_class_pairing_is_one	formal-checked	instance-of:holon.nonzero-pairing-certifies
holon.cycle-reads-harmonic-representative	holon, coholon, constitution	dω=0, ∂z=0 ⇒ ∃! h harmonic, ω − h exact, ⟨ω,z⟩ = ⟨h,z⟩	a cycle reads a cocycle's class only through its unique harmonic (dormant) representative	WeightedComplex over ℚ	L:Objects/Pairing:cycle_reads_the_harmonic_representative; L:Transport/CellHolonomy:closed_field_retains_unique_harmonic_mode	formal-checked	uses:cell.harmonic-unique
holon.cayley-isometry	holon, navigator, parametron	J* = −J ⇒ det(I − ½hJ) ≠ 0 and C = (I − ½hJ)⁻¹(I + ½hJ) satisfies |Cs|² = |s|²	the implicit-midpoint (Cayley) reaction step has gain exactly one whatever the contrast	skew-Hermitian J, real h; realified form for real skew J	L:Holon/Cayley:cayley_isometry; L:Holon/Cayley:cayley_denominator_det; L:Holon/Cayley:cayley_isometry_rel; L:Holon/Cayley:cayley_isometry_real	formal-checked	
holon.midpoint-resistance-balance	holon, constitution	x⁺ − x = h(J − R)x̄, x̄ = ½(x + x⁺) ⇒ ½|x⁺|² − ½|x|² = −h⟨x̄, R x̄⟩ ≤ 0	the implicit midpoint step dissipates exactly the resistive power at the midpoint, whatever the skew part	Jᵀ = −J, R ⪰ 0, h ≥ 0	L:Holon/Cayley:midpoint_reaction_balance	formal-checked	uses:holon.energy-balance
holon.explicit-step-grows	holon	x⁺ = (I + hJ)x, J* = −J ⇒ |x⁺|² = |x|² + h²|Jx|²;  J = s[[0,−1],[1,0]] at (s,0): gain 1 + h²s²	the explicit reaction step is not an isometry: its gain grows at second order with the energy	skew-Hermitian J	L:Holon/Cayley:explicit_step_growth; L:Holon/Cayley:explicit_growth_witness	counterexample	obstructs:holon.cayley-isometry
holon.minimal-certified-shift	holon, constitution, deposition	⟨v, Wv⟩ ≤ λ_max(sym W)|v|²;  (∀v ⟨v,(W − τI)v⟩ ≤ 0) ⇔ τ ≥ λ_max(sym W);  shifted blocks: E_N ≤ ∏(1+ε_k) E₀	a learned block becomes passive exactly when shifted by at least the top eigenvalue of its symmetric part, restoring the committed-energy bound	real matrices, storage drift ε_k	L:Holon/Cayley:rayleigh_le; L:Holon/Cayley:shift_passive_iff; L:Holon/Cayley:shifted_committed_energy_bound; L:Holon/Cayley:lamMax	formal-checked	uses:holon.committed-energy-bound
holon.passive-cayley-contraction	holon, constitution	⟨v,Kv⟩ ≤ 0: δ − e = ½K(δ+e) + f ⇒ ‖δ‖ ≤ ‖e‖ + ‖f‖;  ‖(I − ½K)⁻¹‖ ≤ 1;  ‖(I − ½K)⁻¹(I + ½K)‖ ≤ 1; I − ½K bijective (finite dim)	the Cayley step of a passive operator is a contraction	real inner-product space	L:Holon/Cayley:key_contraction; L:Holon/Cayley:resolvent_bound; L:Holon/Cayley:cayley_contraction; L:Holon/Cayley:cayley_bijective	formal-checked	generalizes:holon.cayley-isometry
holon.skew-modulation-no-work	holon, constitution	K(c) = K_s + Σ c_r A_r, ⟨v, A_r v⟩ = 0 ⇒ ⟨v, K(c)v⟩ = ⟨v, K_s v⟩	a skew modulation does no work, so K(c) is passive whenever K_s is	A_r skew	L:Holon/Cayley:inner_devK; L:Holon/Cayley:devK	formal-checked	
holon.drive-balance	holon, constitution	y − p = K(c)x̄ + w, x̄ = ½(p+y) ⇒ ½‖y‖² − ½‖p‖² = ⟨x̄, K_s x̄⟩ + ⟨x̄, w⟩ = −⟨x̄, R x̄⟩ + ⟨x̄, W_c c⟩	the Cayley solve's energy change is resistive loss plus drive power	R = −K_s, A_r skew	L:Holon/Cayley:drive_balance	formal-checked	uses:holon.skew-modulation-no-work
holon.medium-is-port-holon	holon, constitution	q̇ = (Ω − M) G q + B u ⇔ bond (−q̇, Gq; Gq, −MGq; BᵀGq, u) ∈ graph(mediumJ);  2⟨Gq, Aq⟩ = quad(AᵀG + GA)q = −2 quad M (Gq)	the linear medium is a port Holon with skew Ω, storage G, contact dissipation M and inputs B	Ωᵀ = −Ω, Gᵀ = G	L:Holon/Conformance:medium_admits; L:Holon/Conformance:mediumHolon; L:Holon/Conformance:medium_rate_agrees; L:Holon/Conformance:mediumJ_skew	formal-checked	instance-of:holon.port-holon
holon.two-media-witness	holon, holarchy	two one-coordinate media joined at a shared input, storages 2 and 3, state (1,1): E = 1 + 3/2	interconnected Holons form a Holon whose energy is the sum of the parts	witness	L:Holon/Conformance:two_media_witness	formal-checked	instance-of:holon.interconnect
holon.diffusion-dissipates	holon, constitution	Ω = 0: ⟨Gq, −MGq⟩ = −⟨Gq, MGq⟩ ≤ 0;  G = M = q = 1: rate −1	diffusion is the purely resistive medium	M ⪰ 0	L:Holon/Conformance:diffusion_dissipates; L:Holon/Conformance:diffusion_witness	formal-checked	specializes:holon.medium-is-port-holon
holon.ssm-port-output	holon, receiver	ẋ = (Ω − M)Gx + Bu, y = BᵀGx: dE/dt = −⟨Gx, MGx⟩ + ⟨u, y⟩;  y = C'(Gx) is a zero-power coholon reading	a linear state-space model is a port Holon with collocated output; a general output is a passive coholon reading	Ωᵀ = −Ω	L:Holon/Conformance:ssm_port_output	formal-checked	specializes:holon.medium-is-port-holon
holon.maxwell-stokes-dirac	holon, complex	Ω = [[0, d₁ᵀ],[−d₁, 0]], Ḋ = d₁ᵀH, Ḃ = −d₁E;  d₁d₀ = 0 ⇒ d₀ᵀḊ = 0;  ⟨Gx, ẋ⟩ = −⟨Gx, MGx⟩ + ⟨u, BᵀGx⟩	Maxwell is the Stokes–Dirac medium on a cochain complex: Gauss's law is preserved by ∂² = 0 and the balance is Joule loss plus source power	G = diag(ε⁻¹, μ⁻¹), Ohmic M	L:Holon/Conformance:maxwell_gauss; L:Holon/Conformance:maxwell_balance; L:Holon/Conformance:maxwellSkew; L:Holon/Conformance:triangle_face_complex	formal-checked	specializes:holon.medium-is-port-holon
holon.lie-poisson-navier-stokes	holon, constitution	ẋ = (hat(x) − M)Gx, hat(x)w = x × w: ⟨x, hat(x)w⟩ = 0 (Casimir |x|²);  d/dt ½⟨x,Gx⟩ = −⟨Gx, MGx⟩	Euler/Navier–Stokes in the three-mode Lie–Poisson truncation is a port Holon: zero energy change for Euler, viscous dissipation otherwise	three-mode Galerkin triad	L:Holon/Conformance:hat_casimir; L:Holon/Conformance:navierStokes_balance; L:Holon/Conformance:hat_skew	formal-checked	specializes:holon.medium-is-port-holon
holon.occurrence-is-port-event	holon, holarchy, coholon	φ(∂(joined o)) = drop₁ + drop₂, shared port contributes nothing	an occurrence is a port event and composition of occurrences is port identification	BoundaryHolon.comp with left.target = right.source	L:Holon/Conformance:comp_is_port_identification	formal-checked	uses:holon.face-is-potential-drop
holon.committed-energy-bound	holon, deposition, constitution	R_k ⪰ 0, ⟨e,L_k e⟩ ≤ 0, h ≥ 0, Q_(k+1) ⪯ (1+ε_k)Q_k ⇒ E_n ≤ ∏_(k<n)(1+ε_k) E₀ ≤ exp(Σε_k) E₀	passivity-preserving deposition bounds the committed energy by the product of storage growths	inputs off, 1+ε_k ≥ 0	L:Holon/Deposition:committed_energy_bound; L:Holon/Deposition:energy_product_bound; L:Holon/Deposition:product_le_exp_sum; R:holonics::holon::deposition::CommittedEnergyBound	formal-checked	uses:deposition.commit-balance
holon.dirac-structure	holon	𝒟 = 𝒟^⊥ for the bond pairing ⟨⟨(f,e),(f',e')⟩⟩ = ⟨e,f'⟩ + ⟨e',f⟩;  isotropic ∧ co-isotropic ⇒ Dirac	a Dirac interconnection structure is a subspace equal to its own orthogonal	finite-dimensional, field	L:Holon/Dirac:IsDirac; L:Holon/Dirac:isDirac_of; D:docs/ELEMENTARY_OBJECTS.md#the-holon-as-one-object; R:holonics::holon::dirac::DiracStructure	definition	
holon.power-neutral	holon	(f,e) ∈ 𝒟 ⇒ ⟨e,f⟩ = 0	every bond of a Dirac structure carries zero power (Tellegen)	char 0	L:Holon/Dirac:IsDirac.power_eq_zero	formal-checked	uses:holon.dirac-structure
holon.skew-graph-dirac	holon	Jᵀ = −J ⇒ {(Je, e)} is Dirac;  skewGraph J = kernelForm(1, −J)	the graph of a skew effort-to-flow map is a Dirac structure		L:Holon/Dirac:skewGraph_isDirac; L:Holon/Dirac:skewGraph_eq_kernelForm; L:Holon/Dirac:skewGraph_kernel_hypotheses	formal-checked	instance-of:holon.dirac-structure
holon.tellegen	holon, coholon, complex	⟨dφ, f⟩ = ⟨φ, dᵀf⟩	Tellegen is Stokes: an exact effort paired with a flow is the potential paired with the flow's boundary	any incidence	L:Holon/Dirac:tellegen	formal-checked	instance-of:holon.stokes
holon.kirchhoff-dirac	holon, complex	KCL dᵀf = 0 ∧ KVL e = dφ is Dirac for every incidence d	the Kirchhoff–Stokes–Dirac structure: isotropy is Tellegen, co-isotropy from the Fredholm alternative	any incidence over a field	L:Holon/Dirac:kirchhoff_isDirac; L:Holon/Dirac:kirchhoff	formal-checked	uses:holon.tellegen
holon.kernel-form-dirac	holon	{(f,e) | Ff + Ee = 0} Dirac ⇐ FEᵀ + EFᵀ = 0 ∧ rank[F|E] = n;  its orthogonal is {(Eᵀλ, Fᵀλ)}	the kernel form of a Dirac structure and its image form	finite ports over a field	L:Holon/Dirac:kernelForm_isDirac; L:Holon/Dirac:orthogonal_kernelForm; L:Holon/Dirac:bondForm_imageMap; R:holonics::holon::dirac::KernelForm	formal-checked	uses:holon.dirac-structure
holon.kirchhoff-is-kernel-form	holon, complex	∃ cycle matrix C, range C = ker dᵀ;  kirchhoff d = kernelForm([dᵀ;0],[0;Cᵀ])	every Kirchhoff structure is a kernel form (KCL rows, KVL rows), with no hypothesis	over a field	L:Holon/Dirac:kirchhoff_is_kernelForm; L:Holon/Dirac:exists_cycleMatrix; L:Holon/Dirac:kirchhoff_eq_kernelForm; L:Holon/Dirac:triangle_kernelForm	formal-checked	uses:holon.kernel-form-dirac
holon.dirac-witnesses	holon	gyrator J = [[0,−1],[1,0]]: e = (1,1), f = (−1,1), power 0;  identity graph not Dirac (power 1 at (1,0));  zero subspace isotropic, not Dirac	a moving bond can carry no power; non-skew graphs and bare isotropy fail	witnesses over ℚ	L:Holon/Dirac:gyrator_witness; L:Holon/Dirac:identity_graph_not_dirac; L:Holon/Dirac:zero_not_dirac	counterexample	instance-of:holon.dirac-structure
holon.dirac-composition	holon, holarchy	D Dirac on P×Q, L Dirac on Q ⇒ {p | ∃q∈L, (p,q)∈D} Dirac;  (A ⊓ C)^⊥ = A^⊥ ⊔ C^⊥	composing a Dirac structure with a Dirac link is Dirac (Cervera, van der Schaft, Baños 2007)	finite dim, nondegenerate symmetric pairings	L:Holon/Dirac:compose_isDirac; L:Holon/Dirac:orthogonal_inf	formal-checked	uses:holon.dirac-structure
holon.interconnect	holon, holarchy	interconnect(D_A, D_B) at shared ports τ (f_τ opposite, e_τ equal) is Dirac;  power(partA) + power(partB) = power(b)	interconnecting two Dirac structures at shared ports is Dirac with exact power balance: the shared terms cancel	D_A on α⊕τ, D_B on τ⊕β	L:Holon/Dirac:interconnect_isDirac; L:Holon/Dirac:interconnect_power; L:Holon/Dirac:mem_interconnect; L:Holon/Dirac:link_isDirac; L:Holon/Dirac:split_power	formal-checked	uses:holon.dirac-composition
holon.dirac-reindex	holon	relabelling ports ι ≃ ι' preserves the bond pairing and Dirac structures	port names carry no power	port bijection	L:Holon/Dirac:IsDirac.reindex; L:Holon/Dirac:bondForm_reindex	formal-checked	
holon.gyrator-chain-transformer	holon, holarchy	two gyrators via a shared port: Dirac, carries f = (1,−1), e = (2,2) through shared (2,−1), power 0	two interconnected gyrators are a transformer	witness	L:Holon/Dirac:gyrator_chain_witness	formal-checked	instance-of:holon.interconnect
holon.port-holon	holon, constitution	ports σ ⊕ ρ ⊕ π ⊕ α; storage E = ½⟨x,Qx⟩, effort Qx, flow −ẋ; resistance e_R = −R f_R; power = ⟨e_S,f_S⟩ + ⟨e_R,f_R⟩ + ⟨e_P,f_P⟩ + ⟨e_A,f_A⟩	a port Holon is a Dirac structure on storage, resistive, external and active ports with linear element relations	finite ports over a field	L:Holon/Element:PortHolon; L:Holon/Element:power_assemble; L:Holon/Element:storageEnergy; R:holonics::holon::PortHolon	definition	uses:holon.dirac-structure
holon.power-balance	holon, constitution	admitted point ⇒ ⟨Qx, ẋ⟩ = −⟨f_R, R f_R⟩ + ⟨e_P, f_P⟩ + ⟨e_A, f_A⟩	the pointwise power balance is power neutrality of 𝒟 and nothing else: dissipation, port power, active power	char 0	L:Holon/Element:PortHolon.power_balance	formal-checked	uses:holon.power-neutral
holon.passivity-proved	holon, constitution	R ⪰ 0 ⇒ ⟨Qx, ẋ⟩ ≤ ⟨e_P, f_P⟩ + ⟨e_A, f_A⟩	passivity is a proved inequality from a positive semidefinite resistance, never assumed	ordered field	L:Holon/Element:PortHolon.passive	formal-checked	uses:holon.power-balance
holon.energy-balance	holon, constitution, deposition	d/dτ ½⟨x, Q(τ)x⟩ = −⟨f_R, R f_R⟩ + ⟨e_P,f_P⟩ + ⟨e_A,f_A⟩ + ½⟨x, Q̇x⟩;  dE/dt = ⟨Qx, ẋ⟩ + ½⟨x, Q̇x⟩	along a motion the storage changes by dissipation, port power, active power and the deposition work of a changing constitution	Q(τ) symmetric, over ℝ; fixed Q drops the last term	L:Holon/Element:PortHolon.energy_balance; L:Holon/Element:PortHolon.energy_balance_const; L:Holon/Element:hasDerivAt_storageEnergy; D:docs/ELEMENTARY_OBJECTS.md#the-holon-as-one-object	formal-checked	uses:holon.power-balance
holon.nonlinear-storage-balance	holon, constitution	d𝓗 = ⟨e, ·⟩ ⇒ d𝓗(x)/dτ = −⟨f_R, R f_R⟩ + ⟨e_P,f_P⟩ + ⟨e_A,f_A⟩;  𝓗 = x⁴/4 has effort x³	the balance holds for a nonlinear storage whose Fréchet derivative is the effort	admitted motion with effort e	L:Holon/Element:PortHolon.energy_balance_fderiv; L:Holon/Element:quartic_storage_effort	formal-checked	generalizes:holon.energy-balance
holon.midpoint-balance-exact	holon, navigator	q⁺ − q = h((J − R)Q q̄ + Bu), q̄ = ½(q + q⁺) ⇒ E⁺ − E = −h⟨ē, Rē⟩ + h⟨ē, Bu⟩, ē = Q q̄	the implicit midpoint step has zero balance residual (the advance law)	Qᵀ = Q, Jᵀ = −J, char 0	L:Holon/Element:midpoint_balance; L:Holon/Law:advance_law; R:holonics::holon::law::HolonLaw	formal-checked	instance-of:holon.energy-balance
holon.backward-euler-defect	holon	q⁺ − q = h((J − R)Qq⁺ + Bu) ⇒ E⁺ − E = −h⟨e⁺,Re⁺⟩ + h⟨e⁺,Bu⟩ − ½⟨Δq, QΔq⟩;  Q = B = h = u = 1, q = 0: defect 1/2	backward Euler dissipates ½⟨Δq,QΔq⟩ that no element does	Qᵀ = Q, Jᵀ = −J	L:Holon/Element:backwardEuler_balance; L:Holon/Element:backwardEuler_defect_witness	counterexample	obstructs:holon.midpoint-balance-exact
holon.interconnect-port-holons	holon, holarchy	A ⋈_τ B: storage diag(Q_A, Q_B), resistance diag(R_A, R_B), composed Dirac;  E = E_A + E_B, dissipation additive; b admitted ⇔ ∃ shared q admitting both sides with (−f_q, e_q)	a Holon of Holons is a Holon: interconnection at shared ports adds energies and dissipations	shared external ports τ	L:Holon/Law:PortHolon.interconnect; L:Holon/Law:storageEnergy_blocks; L:Holon/Law:dissipation_blocks; L:Holon/Law:PortHolon.mem_interconnect; R:holonics::holon::PortHolon	formal-checked	uses:holon.interconnect
holon.pullback-law	holon, navigator, coholon	⟨e', P f⟩ = ⟨Pᵀ e', f⟩	a port map moves efforts by its transpose and preserves power; the learning covector travels on the effort side	any port matrix P	L:Holon/Law:pullback_law	formal-checked	uses:holon.stokes
